mes,NomBandeiraAcionada,nivel,ena_pct_mlt_nordeste,ena_pct_mlt_norte,ena_pct_mlt_sudeste,ena_pct_mlt_sul,ena_nacional_mwmed,ena_nacional_pct_mlt_media_subsis,novas_conexoes,potencia_nova_kw,potencia_acumulada_kw,potencia_acumulada_mw,conexoes_acumuladas
2018-03,Verde,0,56.14046441290322,93.35003243741936,88.6631742916129,94.22138472548387,3069600.47631848,83.09376396685484,2142,22921.43,249722.06999999998,249.72206999999997,26885
2018-04,Verde,0,47.778823471,98.604119873,89.741370137,91.48906974733333,2598280.50927748,81.90334580708333,2029,21098.85,270820.92,270.82092,28914
2018-05,Amarela,1,34.954974204838706,69.80988385580646,78.0806739564516,36.1914679,1568613.00341812,54.759249979274195,2383,26049.87,296870.79,296.87079,31297
2018-06,Vermelha P2,3,37.217119979,57.89248670033333,76.14700991266666,48.870436732,1124834.45617687,55.031763331,2413,32308.32,329179.11,329.17911,33710
2018-07,Vermelha P2,3,38.82554171161291,66.07647422096774,69.60763894322581,59.67649361387097,902433.76733411,58.54653712241935,2594,28550.26,357729.37,357.72937,36304
2018-08,Vermelha P2,3,39.959400053870965,70.71422896838709,82.66348414290322,47.6753773216129,780617.39746103,60.25312262169355,3249,40720.55,398449.92,398.44991999999996,39553
2018-09,Vermelha P2,3,42.64990654033333,68.947950363,82.454176585,99.16751734433333,914007.98193364,73.30488770816667,3128,38291.38,436741.3,436.74129999999997,42681
2018-10,Vermelha P2,3,43.353684087096774,61.2404582116129,108.30902887129032,119.04409703935484,1363760.80676279,82.98681705233871,4026,43885.31,480626.61,480.62660999999997,46707
2018-11,Amarela,1,71.00598678533333,81.43966585833333,128.707690175,113.101003774,1731347.86267096,98.56358664816666,4352,50111.12,530737.73,530.7377299999999,51059
2018-12,Verde,0,87.76466135774193,114.31508094935485,95.41798646967742,79.36349721129032,2153679.14428724,94.21530649701613,4453,56188.27,586926.0,586.926,55512
2019-01,Verde,0,37.82987440838709,77.55337327516129,63.94836167354838,99.04137149806452,2058451.05566416,69.59324521379033,5320,61293.01,648219.01,648.21901,60832
2019-02,Verde,0,25.377550057142855,65.41331781714285,65.66307844392857,80.46071066142858,1991764.17944342,59.22866424491071,5593,67636.76,715855.77,715.85577,66425
2019-03,Verde,0,43.757412694838706,83.99033183483871,96.83117700419355,133.63188343612904,3229765.06982438,89.5527012425,5743,66016.18,781871.95,781.87195,72168
2019-04,Verde,0,55.266280238,95.062249248,96.70143305466667,100.856112926,2732835.10595722,86.97151886666667,7263,80894.59,862766.5399999999,862.76654,79431
2019-05,Amarela,1,57.46803862096774,88.42165153225807,96.94840658774193,162.80586833354837,2306638.98681653,101.41099126862903,8547,98476.6,961243.1399999999,961.2431399999999,87978
2019-06,Verde,0,50.986496099,84.24139963766667,95.69621048033333,156.291682815,1763525.77734382,96.80394725800001,7308,84558.05,1045801.19,1045.80119,95286
2019-07,Amarela,1,48.793119491612906,83.5639873632258,85.67805800935484,64.23983272354839,1093830.13525406,70.56874939693547,9427,121786.79,1167587.98,1167.58798,104713
2019-08,Vermelha P1,2,48.63363868935484,77.63213520645161,79.92140271645161,28.324248344838708,724888.33825693,58.627856239274195,9915,127850.86,1295438.84,1295.43884,114628
2019-09,Vermelha P1,2,43.718053309666665,68.221647007,69.82177963266666,27.825940005333333,597246.52416995,52.39685498866667,9768,127261.4,1422700.24,1422.70024,124396
2019-10,Amarela,1,31.355399839677418,73.14550953548388,58.55394215741936,39.902615947419356,682354.18341069,50.73936687,12252,146503.09,1569203.33,1569.20333,136648
2019-11,Vermelha P1,2,24.221719931666666,64.25326970333333,62.724290339333336,98.42793273966666,989330.4352418099,62.4068031785,12195,154552.72,1723756.05,1723.75605,148843
2019-12,Amarela,1,47.38636822838709,52.78974865354839,82.05439056870968,59.95920341225806,1645249.07373047,60.54742771572581,16948,215731.6,1939487.6500000001,1939.48765,165791
2020-01,Amarela,1,44.834735501290325,60.605660961612905,74.79821260451614,44.70828062451613,2110508.33837896,56.23672242298387,17056,219548.9,2159036.5500000003,2159.0365500000003,182847
2020-02,Verde,0,81.82758581241379,76.00231736241379,105.1548514524138,32.539996705862066,3066742.95690929,73.88118783327586,15487,199272.55,2358309.1,2358.3091,198334
2020-03,Verde,0,96.43335157806452,110.70758032096774,102.87169007290322,25.95294829419355,3593318.64526377,83.99139256653226,14095,180515.84,2538824.94,2538.82494,212429
